t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
       265.0000,        1.0000000,      130.8919265,       66.7228894,       38.2429622,       26.9168235,
       266.0000,        1.0000000,      131.0880490,       66.8807243,       38.3252310,       26.9185441,
       267.0000,        1.0000000,      131.2838032,       67.0383913,       38.4076135,       26.9202968,
       268.0000,        1.0000000,      131.4791912,       67.1958906,       38.4901083,       26.9220820,
       269.0000,        1.0000000,      131.6742150,       67.3532226,       38.5727142,       26.9239000,
       270.0000,        1.0000000,      131.8688766,       67.5103876,       38.6554300,       26.9257511,
       271.0000,        1.0000000,      132.0631781,       67.6673860,       38.7382544,       26.9276356,
       272.0000,        1.0000000,      132.2571214,       67.8242181,       38.8211862,       26.9295540,
       273.0000,        1.0000000,      132.4507085,       67.9808842,       38.9042242,       26.9315065,
       274.0000,        1.0000000,      132.6439413,       68.1373847,       38.9873671,       26.9334935,
       275.0000,        1.0000000,      132.8368219,       68.2937199,       39.0706139,       26.9355153,
       276.0000,        1.0000000,      133.0293521,       68.4498901,       39.1539632,       26.9375723,
       277.0000,        1.0000000,      133.2215338,       68.6058958,       39.2374141,       26.9396647,
       278.0000,        1.0000000,      133.4133690,       68.7617371,       39.3209652,       26.9417930,
       279.0000,        1.0000000,      133.6048594,       68.9174146,       39.4046155,       26.9439575,
       280.0000,        1.0000000,      133.7960069,       69.0729284,       39.4883638,       26.9461584,
       281.0000,        1.0000000,      133.9868134,       69.2282790,       39.5722090,       26.9483962,
       282.0000,        1.0000000,      134.1772807,       69.3834668,       39.6561500,       26.9506712,
       283.0000,        1.0000000,      134.3674106,       69.5384920,       39.7401857,       26.9529837,
       284.0000,        1.0000000,      134.5572048,       69.6933550,       39.8243151,       26.9553340,
