t,001_MLR( 0.0000_ 0.0000_ 0.0000),
       555.2245,        0.0000000,
       556.2250,        0.0000000,
       557.2255,        0.0000000,
       558.2260,        0.0000000,
       559.2265,        0.0000000,
       560.2270,        0.0000000,
       561.2275,        0.0000000,
       562.2280,        0.0000000,
       563.2285,        0.0000000,
       564.2290,        0.0000000,
       565.2295,        0.0000000,
       566.2300,        0.0000000,
       567.2305,        0.0000000,
       568.2310,        0.0000000,
       569.2315,        0.0000000,
       570.2320,        0.0000000,
       571.2325,        0.0000000,
       572.2330,        0.0000000,
       573.2335,        0.0000000,
       574.2340,        0.0000000,
       575.2345,        0.0000000,
       576.2350,        0.0000000,
       577.2355,        0.0000000,
       578.2360,        0.0000000,
       579.2365,        0.0000000,
       580.2370,        0.0000000,
       581.2375,        0.0000000,
       582.2380,        0.0000000,
       583.2385,        0.0000000,
       584.2390,        0.0000000,
       585.2395,        0.0000000,
       586.2400,        0.0000000,
       587.2405,        0.0000000,
       588.2410,        0.0000000,
       589.2415,        0.0000000,
       590.2420,        0.0000000,
       591.2425,        0.0000000,
       592.2430,        0.0000000,
       593.2435,        0.0000000,
       594.2440,        0.0000000,
       595.2445,        0.0000000,
       596.2450,        0.0000000,
       597.2455,        0.0000000,
       598.2460,        0.0000000,
       599.2465,        0.0000000,
