s,C,C,C
Time,"Front","Back","gaz_temp"
 5.9400000E+003, 2.0178118E+001, 6.8994980E+001,-2.7314999E+002
 5.9600000E+003, 1.9962694E+001, 6.8630203E+001,-2.7314999E+002
 5.9800000E+003, 1.9747747E+001, 6.8266594E+001,-2.7314999E+002
 6.0000000E+003, 1.9533276E+001, 6.7904129E+001,-2.7314999E+002
 6.0200000E+003, 1.9319277E+001, 6.7542809E+001,-2.7314999E+002
 6.0300000E+003, 1.9212454E+001, 6.7362579E+001,-2.7314999E+002
 6.0500000E+003, 1.8999163E+001, 6.7002975E+001,-2.7314999E+002
 6.0700000E+003, 1.8786341E+001, 6.6644501E+001,-2.7314999E+002
 6.0900000E+003, 1.8573986E+001, 6.6287155E+001,-2.7314999E+002
 6.1100000E+003, 1.8362097E+001, 6.5930931E+001,-2.7314999E+002
 6.1200000E+003, 1.8256327E+001, 6.5753242E+001,-2.7314999E+002
 6.1400000E+003, 1.8045135E+001, 6.5398697E+001,-2.7314999E+002
 6.1600000E+003, 1.7834406E+001, 6.5045258E+001,-2.7314999E+002
 6.1800000E+003, 1.7624140E+001, 6.4692924E+001,-2.7314999E+002
 6.2000000E+003, 1.7414331E+001, 6.4341682E+001,-2.7314999E+002
 6.2100000E+003, 1.7309599E+001, 6.4166481E+001,-2.7314999E+002
